Title,Season,Episode,Description,Duration,Year,Director,Rating
"The Rescue (The Daleks, Part Seven)",1,11,"<p>The TARDIS has brought the travellers to the planet Skaro where they meet two indigenous races — the Daleks, malicious mutant creatures encased in armoured travel machines, and the Thals, beautiful humanoids with pacifist principles. They convince the Thals of the need to fight for their own survival.</p><p>Joining forces with them and braving Skaro's many dangers, they launch a two-pronged attack on the Dalek city. The Daleks are all killed when, during the course of the fighting, their power supply is cut off.</p>",25,1964,Richard Martin,7.4
"The Edge of Destruction (The Edge of Destruction, Part One)",1,12,"<p>As they slowly recover from the shock of being thrown to the TARDIS floor,the Doctor, Susan, Ian and Barbara all seem to be acting strangely. Unexplained events occur and suspicions are raised that an alien force may have entered the ship. The Doctor even accuses Ian and Barbara of sabotage.</p><p>It gradually dawns on the travellers that what they have been experiencing is an attempt by the TARDIS itself to warn them of something. The Doctor finally realises the fast return switch he used when leaving Skaro has stuck, and the ship has been plunging back to the beginning of time and its own destruction.</p><p>Once the problem — a faulty spring — is corrected, the TARDIS returns to normal and the Doctor has to make some apologies for his behaviour.</p>",25,1964,Richard Martin,7.3
"The Brink of Disaster (The Edge of Destruction, Part Two)",1,13,"<p>As they slowly recover from the shock of being thrown to the TARDIS floor,the Doctor, Susan, Ian and Barbara all seem to be acting strangely. Unexplained events occur and suspicions are raised that an alien force may have entered the ship. The Doctor even accuses Ian and Barbara of sabotage.</p><p>It gradually dawns on the travellers that what they have been experiencing is an attempt by the TARDIS itself to warn them of something. The Doctor finally realises the fast return switch he used when leaving Skaro has stuck, and the ship has been plunging back to the beginning of time and its own destruction.</p><p>Once the problem — a faulty spring — is corrected, the TARDIS returns to normal and the Doctor has to make some apologies for his behaviour.</p>",25,1964,Frank Fox,7.3
"The Roof of the World (Marco Polo, Part One)",1,14,"<p><i><b>Missing episode</b></i></p><p>Arriving in Central Asia in 1289, the Doctor and his companions join the caravan of the famous Venetian explorer Marco Polo as it makes its way from the snowy heights of the Pamir Plateau, across the treacherous Gobi Desert and through the heart of imperial Cathay.</p><p>Having witnessed many incredible sights and survived a variety of dangers, they arrive at the mighty Kublai Khan's Summer Palace in Shang-tu, where the Doctor strikes up an extraordinary friendship with the now-aged ruler.</p><p>They move on at last to the even more sumptuous Imperial Palace in Peking, where the travellers save the Khan from an assassination attempt by the Mongol warlord Tegana — supposedly on a peace mission — before departing once more in the TARDIS.</p>",25,1964,Waris Hussein,6.8
"The Singing Sands (Marco Polo, Part Two)",1,15,"<p><i><b>Missing episode</b></i></p><p>Arriving in Central Asia in 1289, the Doctor and his companions join the caravan of the famous Venetian explorer Marco Polo as it makes its way from the snowy heights of the Pamir Plateau, across the treacherous Gobi Desert and through the heart of imperial Cathay.</p><p>Having witnessed many incredible sights and survived a variety of dangers, they arrive at the mighty Kublai Khan's Summer Palace in Shang-tu, where the Doctor strikes up an extraordinary friendship with the now-aged ruler.</p><p>They move on at last to the even more sumptuous Imperial Palace in Peking, where the travellers save the Khan from an assassination attempt by the Mongol warlord Tegana — supposedly on a peace mission — before departing once more in the TARDIS.</p>",25,1964,Waris Hussein,6.8
"Five Hundred Eyes (Marco Polo, Part Three)",1,16,"<p><i><b>Missing episode</b></i></p><p>Arriving in Central Asia in 1289, the Doctor and his companions join the caravan of the famous Venetian explorer Marco Polo as it makes its way from the snowy heights of the Pamir Plateau, across the treacherous Gobi Desert and through the heart of imperial Cathay.</p><p>Having witnessed many incredible sights and survived a variety of dangers, they arrive at the mighty Kublai Khan's Summer Palace in Shang-tu, where the Doctor strikes up an extraordinary friendship with the now-aged ruler.</p><p>They move on at last to the even more sumptuous Imperial Palace in Peking, where the travellers save the Khan from an assassination attempt by the Mongol warlord Tegana — supposedly on a peace mission — before departing once more in the TARDIS.</p>",25,1964,Waris Hussein,7.2
"The Wall of Lies (Marco Polo, Part Four)",1,17,"<p><i><b>Missing episode</b></i></p><p>Arriving in Central Asia in 1289, the Doctor and his companions join the caravan of the famous Venetian explorer Marco Polo as it makes its way from the snowy heights of the Pamir Plateau, across the treacherous Gobi Desert and through the heart of imperial Cathay.</p><p>Having witnessed many incredible sights and survived a variety of dangers, they arrive at the mighty Kublai Khan's Summer Palace in Shang-tu, where the Doctor strikes up an extraordinary friendship with the now-aged ruler.</p><p>They move on at last to the even more sumptuous Imperial Palace in Peking, where the travellers save the Khan from an assassination attempt by the Mongol warlord Tegana — supposedly on a peace mission — before departing once more in the TARDIS.</p>",25,1964,John Crockett,6.8
"Rider From Shang-Tu (Marco Polo, Part Five)",1,18,"<p><i><b>Missing episode</b></i></p><p>Arriving in Central Asia in 1289, the Doctor and his companions join the caravan of the famous Venetian explorer Marco Polo as it makes its way from the snowy heights of the Pamir Plateau, across the treacherous Gobi Desert and through the heart of imperial Cathay.</p><p>Having witnessed many incredible sights and survived a variety of dangers, they arrive at the mighty Kublai Khan's Summer Palace in Shang-tu, where the Doctor strikes up an extraordinary friendship with the now-aged ruler.</p><p>They move on at last to the even more sumptuous Imperial Palace in Peking, where the travellers save the Khan from an assassination attempt by the Mongol warlord Tegana — supposedly on a peace mission — before departing once more in the TARDIS.</p>",25,1964,Waris Hussein,7
"Mighty Kublai Khan (Marco Polo, Part Six)",1,19,"<p><i><b>Missing episode</b></i></p><p>Arriving in Central Asia in 1289, the Doctor and his companions join the caravan of the famous Venetian explorer Marco Polo as it makes its way from the snowy heights of the Pamir Plateau, across the treacherous Gobi Desert and through the heart of imperial Cathay.</p><p>Having witnessed many incredible sights and survived a variety of dangers, they arrive at the mighty Kublai Khan's Summer Palace in Shang-tu, where the Doctor strikes up an extraordinary friendship with the now-aged ruler.</p><p>They move on at last to the even more sumptuous Imperial Palace in Peking, where the travellers save the Khan from an assassination attempt by the Mongol warlord Tegana — supposedly on a peace mission — before departing once more in the TARDIS.</p>",25,1964,Waris Hussein,7
"Assassin at Peking (Marco Polo, Part Seven)",1,20,"<p><i><b>Missing episode</b></i></p><p>Arriving in Central Asia in 1289, the Doctor and his companions join the caravan of the famous Venetian explorer Marco Polo as it makes its way from the snowy heights of the Pamir Plateau, across the treacherous Gobi Desert and through the heart of imperial Cathay.<br /> </p><p>Having witnessed many incredible sights and survived a variety of dangers, they arrive at the mighty Kublai Khan's Summer Palace in Shang-tu, where the Doctor strikes up an extraordinary friendship with the now-aged ruler.</p><p>They move on at last to the even more sumptuous Imperial Palace in Peking, where the travellers save the Khan from an assassination attempt by the Mongol warlord Tegana — supposedly on a peace mission — before departing once more in the TARDIS.</p>",25,1964,Waris Hussein,7.6
"The Sea of Death (The Keys of Marinus, Part One)",1,21,"<p>The TARDIS arrives on the planet Marinus on an island of glass surrounded by a sea of acid. The travellers are forced by the elderly Arbitan to retrieve four of the five operating keys to a machine called the Conscience of Marinus, of which he is the keeper. These have been hidden in different locations around the planet to prevent them falling into the hands of the evil Yartek and his Voord warriors, who plan to seize the machine and use its originally benevolent mind-influencing power for their own sinister purposes.</p>",25,1964,John Gorrie,7.3
"The Velvet Web (The Keys of Marinus, Part Two)",1,22,"<p>The TARDIS arrives on the planet Marinus on an island of glass surrounded by a sea of acid. The travellers are forced by the elderly Arbitan to retrieve four of the five operating keys to a machine called the Conscience of Marinus, of which he is the keeper. These have been hidden in different locations around the planet to prevent them falling into the hands of the evil Yartek and his Voord warriors, who plan to seize the machine and use its originally benevolent mind-influencing power for their own sinister purposes.</p>",25,1964,John Gorrie,7.3
"The Screaming Jungle (The Keys of Marinus, Part Three)",1,23,"<p>The TARDIS arrives on the planet Marinus on an island of glass surrounded by a sea of acid. The travellers are forced by the elderly Arbitan to retrieve four of the five operating keys to a machine called the Conscience of Marinus, of which he is the keeper. These have been hidden in different locations around the planet to prevent them falling into the hands of the evil Yartek and his Voord warriors, who plan to seize the machine and use its originally benevolent mind-influencing power for their own sinister purposes.</p>",25,1964,John Gorrie,7.6
"The Snows of Terror (The Keys of Marinus, Part Four)",1,24,"<p>The TARDIS arrives on the planet Marinus on an island of glass surrounded by a sea of acid. The travellers are forced by the elderly Arbitan to retrieve four of the five operating keys to a machine called the Conscience of Marinus, of which he is the keeper. These have been hidden in different locations around the planet to prevent them falling into the hands of the evil Yartek and his Voord warriors, who plan to seize the machine and use its originally benevolent mind-influencing power for their own sinister purposes.</p>",25,1964,John Gorrie,7.1
"Sentence of Death (The Keys of Marinus, Part Five)",1,25,"<p>The TARDIS arrives on the planet Marinus on an island of glass surrounded by a sea of acid. The travellers are forced by the elderly Arbitan to retrieve four of the five operating keys to a machine called the Conscience of Marinus, of which he is the keeper. These have been hidden in different locations around the planet to prevent them falling into the hands of the evil Yartek and his Voord warriors, who plan to seize the machine and use its originally benevolent mind-influencing power for their own sinister purposes.</p>",25,1964,John Gorrie,7.4
"The Keys of Marinus (The Keys of Marinus, Part Six)",1,26,"<p>The TARDIS arrives on the planet Marinus on an island of glass surrounded by a sea of acid. The travellers are forced by the elderly Arbitan to retrieve four of the five operating keys to a machine called the Conscience of Marinus, of which he is the keeper. These have been hidden in different locations around the planet to prevent them falling into the hands of the evil Yartek and his Voord warriors, who plan to seize the machine and use its originally benevolent mind-influencing power for their own sinister purposes.</p>",25,1964,John Gorrie,7.6
"The Temple of Evil (The Aztecs, Part One)",1,27,"<p>The arrival of the TARDIS in 15th century Mexico leads the crew to the doomed Aztec people, a mixture of high culture and brutal savagery. Matters are further complicated when Barbara is mistaken for a god and the Doctor becomes engaged to be married.</p>",25,1964,John Crockett,7.4
"The Warriors of Death (The Aztecs, Part Two)",1,28,"<p>The arrival of the TARDIS in 15th century Mexico leads the crew to the doomed Aztec people, a mixture of high culture and brutal savagery. Matters are further complicated when Barbara is mistaken for a god and the Doctor becomes engaged to be married.</p>",25,1964,John Crockett,7.3
"The Bride of Sacrifice (The Aztecs, Part Three)",1,29,"<p>The arrival of the TARDIS in 15th century Mexico leads the crew to the doomed Aztec people, a mixture of high culture and brutal savagery. Matters are further complicated when Barbara is mistaken for a god andthe Doctor becomes engaged to be married.</p>",25,1964,John Crockett,7.6
"The Day of Darkness (The Aztecs, Part Four)",1,30,"<p>The arrival of the TARDIS in 15th century Mexico leads the crew to the doomed Aztec people, a mixture of high culture and brutal savagery. Matters are further complicated when Barbara is mistaken for a god andthe Doctor becomes engaged to be married.</p>",25,1964,John Crockett,7.3
"Strangers in Space (The Sensorites, Part One)",1,31,"<p>The Doctor, Ian, Barbara and Susan arrive in the TARDIS on board aspaceship. Their initial concern is for the ship's human crew, who are suffering from telepathic interference from the Sensorites, but Susan communicates with the Sensorites and finds the aliens fear an attack by the humans and are just defending themselves. Travelling to the Sense Sphere (the Sensorites' planet) the Doctor seeks to cure an illness to which the Sensorites and Ian have succumbed, but finds it has been caused by deliberate poisoning. The political manoeuvring of the Sensorite City Administrator poses another threat to the TARDIS crew as he seeks to discredit and implicate them.</p>",25,1964,Mervyn Pinfield,7.7
"The Unwilling Warriors (The Sensorites, Part Two)",1,32,"<p>The Doctor, Ian, Barbara and Susan arrive in the TARDIS on board aspaceship. Their initial concern is for the ship's human crew, who are suffering from telepathic interference from the Sensorites, but Susan communicates with the Sensorites and finds the aliens fear an attack by the humans and are just defending themselves. Travelling to the Sense Sphere (the Sensorites' planet) the Doctor seeks to cure an illness to which the Sensorites and Ian have succumbed, but finds it has been caused by deliberate poisoning. The political manoeuvring of the Sensorite City Administrator poses another threat to the TARDIS crew as he seeks to discredit and implicate them.</p>",25,1964,Mervyn Pinfield,7.7
"Hidden Danger (The Sensorites, Part Three)",1,33,"<p>The Doctor, Ian, Barbara and Susan arrive in the TARDIS on board aspaceship. Their initial concern is for the ship's human crew, who are suffering from telepathic interference from the Sensorites, but Susan communicates with the Sensorites and finds the aliens fear an attack by the humans and are just defending themselves. Travelling to the Sense Sphere (the Sensorites' planet) the Doctor seeks to cure an illness to which the Sensorites and Ian have succumbed, but finds it has been caused by deliberate poisoning. The political manoeuvring of the Sensorite City Administrator poses another threat to the TARDIS crew as he seeks to discredit and implicate them.</p>",25,1964,Mervyn Pinfield,7.4
"A Race Against Death (The Sensorites, Part Four)",1,34,"<p>The Doctor, Ian, Barbara and Susan arrive in the TARDIS on board aspaceship. Their initial concern is for the ship's human crew, who are suffering from telepathic interference from the Sensorites, but Susan communicates with the Sensorites and finds the aliens fear an attack by the humans and are just defending themselves. Travelling to the Sense Sphere (the Sensorites' planet) the Doctor seeks to cure an illness to which the Sensorites and Ian have succumbed, but finds it has been caused by deliberate poisoning. The political manoeuvring of the Sensorite City Administrator poses another threat to the TARDIS crew as he seeks to discredit and implicate them.</p>",25,1964,Mervyn Pinfield,7.4
"Kidnap (The Sensorites, Part Five)",1,35,"<p>The Doctor, Ian, Barbara and Susan arrive in the TARDIS on board aspaceship. Their initial concern is for the ship's human crew, who are suffering from telepathic interference from the Sensorites, but Susan communicates with the Sensorites and finds the aliens fear an attack by the humans and are just defending themselves. Travelling to the Sense Sphere (the Sensorites' planet) the Doctor seeks to cure an illness to which the Sensorites and Ian have succumbed, but finds it has been caused by deliberate poisoning. The political manoeuvring of the Sensorite City Administrator poses another threat to the TARDIS crew as he seeks to discredit and implicate them.</p>",25,1964,Frank Fox,7.4
"A Desperate Venture (The Sensorites, Part Six)",1,36,"<p>The Doctor, Ian, Barbara and Susan arrive in the TARDIS on board aspaceship. Their initial concern is for the ship's human crew, who are suffering from telepathic interference from the Sensorites, but Susan communicates with the Sensorites and finds the aliens fear an attack by the humans and are just defending themselves. Travelling to the Sense Sphere (the Sensorites' planet) the Doctor seeks to cure an illness to which the Sensorites and Ian have succumbed, but finds it has been caused by deliberate poisoning. The political manoeuvring of the Sensorite City Administrator poses another threat to the TARDIS crew as he seeks to discredit and implicate them.</p>",25,1964,Frank Fox,7.7
"A Land of Fear (The Reign of Terror, Part One)",1,37,"<p>The TARDIS materialises not far from Paris in 1794 — one of the bloodiest years following the French Revolution of 1789. The travellers become involved with an escape chain rescuing prisoners from the guillotine and get caught up in the machinations of an English undercover spy, James Stirling — alias Lemaitre, governor of the Conciergerie prison.</p>",25,1964,Henric Hirsch,7.2
"Guests of Madame Guillotine (The Reign of Terror, Part Two)",1,38,"<p>The TARDIS materialises not far from Paris in 1794 — one of the bloodiest years following the French Revolution of 1789. The travellers become involved with an escape chain rescuing prisoners from the guillotine and get caught up in the machinations of an English undercover spy, James Stirling — alias Lemaitre, governor of the Conciergerie prison.</p>",25,1964,Henric Hirsch,7.3
"A Change of Identity (The Reign of Terror, Part Three)",1,39,"<p>The TARDIS materialises not far from Paris in 1794 — one of the bloodiest years following the French Revolution of 1789. The travellers become involved with an escape chain rescuing prisoners from the guillotine and get caught up in the machinations of an English undercover spy, James Stirling — alias Lemaitre, governor of the Conciergerie prison.</p>",25,1964,John Gorrie,6.8
"The Tyrant of France (The Reign of Terror, Part Four)",1,40,"<p>The TARDIS materialises not far from Paris in 1794 — one of the bloodiest years following the French Revolution of 1789. The travellers become involved with an escape chain rescuing prisoners from the guillotine and get caught up in the machinations of an English undercover spy, James Stirling — alias Lemaitre, governor of the Conciergerie prison.</p>",25,1964,Henric Hirsch,6.6
"A Bargain of Necessity (The Reign of Terror, Part Five)",1,41,"<p><i><b>Missing episode</b></i><br></p><p>The TARDIS materialises not far from Paris in 1794 — one of the bloodiest years following the French Revolution of 1789. The travellers become involved with an escape chain rescuing prisoners from the guillotine and get caught up in the machinations of an English undercover spy, James Stirling — alias Lemaitre, governor of the Conciergerie prison.</p>",25,1964,Henric Hirsch,6.6
"Prisoners of Conciergerie (The Reign of Terror, Part Six)",1,42,"<p><i><b>Missing episode</b></i></p><p>The TARDIS materialises not far from Paris in 1794 — one of the bloodiest years following the French Revolution of 1789. The travellers become involved with an escape chain rescuing prisoners from the guillotine and get caught up in the machinations of an English undercover spy, James Stirling — alias Lemaitre, governor of the Conciergerie prison.</p>",25,1964,Timothy Combe,7.2
"Planet of Giants (Planet of Giants, Part One)",2,1,"<p>The doors of the TARDIS open of their own accord just before it materialises, running out of control. On emerging, the travelers find the ship has been reduced in size and they are now only about an inch tall.</p><p>As tiny people, they stumble across a plot by a ruthless businessman,Forester, and his misguided scientist colleague, Smithers, to launch a new insecticide, DN6 — a product so destructive that it would kill not only those insects harmful to agriculture but also those vital to it.</p><p>Forester is willing to commit murder to ensure the success of his business, as civil servant Arnold Farrow discovers to his cost.</p><p>The criminals are brought to justice when the Doctor and his friends — hampered by the fact that Barbara is ill from the insecticide — tamper with the telephone in Smithers' laboratory, fuelling the suspicions of the local exchange operator, Hilda Rowse, who sends her police constable husband Bert to investigate.</p>",25,1964,Mervyn Pinfield,8.2
"Dangerous Journey (Planet of Giants, Part Two)",2,2,"<p>The doors of the TARDIS open of their own accord just before it materialises, running out of control. On emerging, the travelers find the ship has been reduced in size and they are now only about an inch tall.<br></p><p>As tiny people, they stumble across a plot by a ruthless businessman,Forester, and his misguided scientist colleague, Smithers, to launch a new insecticide, DN6 — a product so destructive that it would kill not only those insects harmful to agriculture but also those vital to it.</p><p>Forester is willing to commit murder to ensure the success of his business, as civil servant Arnold Farrow discovers to his cost.</p><p>The criminals are brought to justice when the Doctor and his friends — hampered by the fact that Barbara is ill from the insecticide — tamper with the telephone in Smithers' laboratory, fuelling the suspicions of the local exchange operator, Hilda Rowse, who sends her police constable husband Bert to investigate.</p>",25,1964,Mervyn Pinfield,8.2
"Crisis (Planet of Giants, Part Three)",2,3,"<p>The doors of the TARDIS open of their own accord just before it materialises, running out of control. On emerging, the travelers find the ship has been reduced in size and they are now only about an inch tall.<br></p><p>As tiny people, they stumble across a plot by a ruthless businessman,Forester, and his misguided scientist colleague, Smithers, to launch a new insecticide, DN6 — a product so destructive that it would kill not only those insects harmful to agriculture but also those vital to it.</p><p>Forester is willing to commit murder to ensure the success of his business, as civil servant Arnold Farrow discovers to his cost.</p><p>The criminals are brought to justice when the Doctor and his friends — hampered by the fact that Barbara is ill from the insecticide — tamper with the telephone in Smithers' laboratory, fuelling the suspicions of the local exchange operator, Hilda Rowse, who sends her police constable husband Bert to investigate.</p>",25,1964,Mervyn Pinfield,8.2
"World's End (The Dalek Invasion of Earth, Part One)",2,4,"<p>The TARDIS returns to London; however, it's the 22nd century. With bodies in the river, and quiet in the docklands, the city is a very different place. The Daleks have invaded and it's up to the Doctor to thwart them once again.</p>",25,1964,Richard Martin,8
"The Daleks (The Dalek Invasion of Earth, Part Two)",2,5,"<p>The TARDIS returns to London; however, it's the 22nd century. With bodies in the river, and quiet in the docklands, the city is a very different place. The Daleks have invaded and it's up to the Doctor to thwart them once again.</p>",25,1964,Richard Martin,8
"Day of Reckoning (The Dalek Invasion of Earth, Part Three)",2,6,"<p>The TARDIS returns to London; however, it's the 22nd century. With bodies in the river, and quiet in the docklands, the city is a very different place. The Daleks have invaded and it's up to the Doctor to thwart them once again.</p>",25,1964,Richard Martin,8
"The End of Tomorrow (The Dalek Invasion of Earth, Part Four)",2,7,"<p>The TARDIS returns to London; however, it's the 22nd century. With bodies in the river, and quiet in the docklands, the city is a very different place. The Daleks have invaded and it's up to the Doctor to thwart them once again.<br></p>",25,1964,Richard Martin,7.7
"The Waking Ally (The Dalek Invasion of Earth, Part Five)",2,8,"<p>The TARDIS returns to London; however, it's the 22nd century. With bodies in the river, and quiet in the docklands, the city is a very different place. The Daleks have invaded and it's up to the Doctor to thwart them once again.</p>",25,1964,Richard Martin,7.7
"Flashpoint (The Dalek Invasion of Earth, Part Six)",2,9,"<p>The TARDIS returns to London; however, it's the 22nd century. With bodies in the river, and quiet in the docklands, the city is a very different place. The Daleks have invaded and it's up to the Doctor to thwart them once again.</p>",25,1964,Richard Martin,8.3
"The Powerful Enemy (The Rescue, Part One)",2,10,"<p>The Doctor, Ian and Barbara arrive on the planet Dido where a crashed spaceship with the only two survivors are terrorized by the monsterKoquillion. But who is Koquillion? But the enemy may be closer then they think...</p>",25,1965,Christopher Barry,7.4
"Desperate Measures (The Rescue, Part Two)",2,11,"<p>The Doctor, Ian and Barbara arrive on the planet Dido where a crashed spaceship with the only two survivors are terrorized by the monsterKoquillion. But who is Koquillion? But the enemy may be closer then they think...</p>",25,1965,Christopher Barry,7.7
"The Slave Traders (The Romans, Part One)",2,12,"<p>Landing in Rome, A.D. 64 the travellers take a rare holiday. While Ian and Barbara are happy to relax, the Doctor and Vicki set off to pursue adventure.</p><p>However, adventure soon finds Ian and Barbara too as they are kidnapped by slave traders, and the Doctor's imitation of Maximus Pettulian sees him taken to the court of Emperor Nero where he inadvertently plays a part in deciding the course of history...</p>",25,1965,Christopher Barry,7.6
"All Roads Lead to Rome (The Romans, Part Two)",2,13,"<p>Landing in Rome, A.D. 64 the travellers take a rare holiday. While Ian and Barbara are happy to relax, the Doctor and Vicki set off to pursue adventure.</p><p>However, adventure soon finds Ian and Barbara too as they are kidnapped by slave traders, and the Doctor's imitation of Maximus Pettulian sees him taken to the court of Emperor Nero where he inadvertently plays a part in deciding the course of history...</p>",25,1965,Christopher Barry,7.6
"Conspiracy (The Romans, Part Three)",2,14,"<p>Landing in Rome, A.D. 64 the travellers take a rare holiday. While Ian and Barbara are happy to relax, the Doctor and Vicki set off to pursue adventure.</p><p>However, adventure soon finds Ian and Barbara too as they are kidnapped by slave traders, and the Doctor's imitation of Maximus Pettulian sees him taken to the court of Emperor Nero where he inadvertently plays a part in deciding the course of history...</p>",25,1965,Christopher Barry,7.6
"Inferno (The Romans, Part Four)",2,15,"<p>Landing in Rome, A.D. 64 the travellers take a rare holiday. While Ian andBarbara are happy to relax, the Doctor and Vicki set off to pursue adventure.</p><p>However, adventure soon finds Ian and Barbara too as they are kidnapped by slave traders, and the Doctor's imitation of Maximus Pettulian sees him taken to the court of Emperor Nero where he inadvertently plays a part in deciding the course of history...</p>",25,1965,Christopher Barry,7.9
"The Web Planet (The Web Planet, Part One)",2,16,"<p>On the planet Vortis, the Doctor, Ian, Barbara and Vicki are swept up in the struggles of the butterfly-like Menoptera, the original denizens of Vortis who were forced to flee the planet for the moon Pictos to escape the encroaching web of the Animus and its mind-controlled minions, the ant-like Zarbi and their living weapons, the larvae guns.</p>",25,1965,Richard Martin,7.2
"The Zarbi (The Web Planet, Part Two)",2,17,"<p>On the planet Vortis, the Doctor, Ian, Barbara and Vicki are swept up in the struggles of the butterfly-like Menoptera, the original denizens of Vortis who were forced to flee the planet for the moon Pictos to escape the encroaching web of the Animus and its mind-controlled minions, the ant-like Zarbi and their living weapons, the larvae guns.</p>",25,1965,Richard Martin,6.3
"Escape to Danger (The Web Planet, Part Three)",2,18,"<p>On the planet Vortis, the Doctor, Ian, Barbara and Vicki are swept up in the struggles of the butterfly-like Menoptera, the original denizens of Vortis who were forced to flee the planet for the moon Pictos to escape the encroaching web of the Animus and its mind-controlled minions, the ant-like Zarbi and their living weapons, the larvae guns.</p>",25,1965,Richard Martin,6.4
